STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"14,000.00","16,400",0.25,0.3,"5,850",-0.6,0.25,119.58,"2,14,217","5,872","38,519"
"15,000.00","37,075",0.3,0.45,"1,025",-0.45,0.45,109.15,"26,353",224,"15,083"
"16,000.00",800,0.35,0.4,"1,850",-0.6,0.35,92.6,"13,118",-198,"3,902"
"17,000.00","12,125",0.35,0.5,"2,925",-0.6,0.35,78.9,"11,562",-880,"18,269"
"18,000.00","72,175",0.3,0.35,"27,000",-0.65,0.3,65.09,"79,127","6,163","68,550"
"18,500.00",-,-,-,-,-,-,-,-,-,-
"19,000.00","42,925",0.5,0.55,"7,225",-0.45,0.5,55.04,"61,606","-1,259","61,230"
"20,000.00","1,700",1.05,1.1,"2,475",-0.2,1.05,45.79,"1,68,099","-7,727","2,06,036"
"20,150.00","1,400",0.95,1.2,75,-0.2,0.95,43.45,"19,391","1,013","2,116"
"20,200.00","1,800",0.85,1.1,"3,600",-0.25,0.95,42.82,"37,946","8,138","11,368"
"20,250.00","1,400",0.8,1.25,675,-0.15,1,42.4,"20,714","4,844","5,867"
"20,300.00","12,600",0.7,1.2,400,-0.25,0.95,41.56,"38,720","6,796","14,785"
"20,350.00",75,1.05,2.4,500,-0.75,1.05,41.34,"20,903",760,"1,182"
"20,400.00",450,1.1,1.35,625,-0.05,1.1,40.89,"43,265","5,362","14,279"
"20,450.00",575,0.95,1.05,975,-0.35,1.05,40.07,"20,051","1,176","1,440"
"20,500.00","1,000",1.25,1.45,"1,000",-0.3,1.25,40.14,"90,872","22,167","60,885"
"20,550.00","6,950",0.9,2.5,500,-0.5,1.15,39.17,"15,335",779,997
"20,600.00",50,1.15,1.65,"1,775",-0.05,1.65,40.02,"63,823","18,686","30,585"
"20,650.00",600,1.15,2.2,500,-0.45,1.15,37.9,"12,554","1,986","2,170"
"20,700.00","1,175",1.5,1.8,25,-0.25,1.5,38.31,"91,876","18,476","36,818"
"20,750.00","7,200",0.9,2.5,325,-0.4,1.3,37.1,"16,899","3,355","3,814"
"20,800.00",175,1.4,1.7,"2,050",-0.15,1.7,37.52,"79,836","18,239","45,095"
"20,850.00",25,1,1.6,725,-0.35,1.3,35.82,"23,419","3,684","4,010"
"20,900.00",950,1.3,1.6,"3,075",-0.3,1.6,35.98,"26,846","2,751","8,836"
"20,950.00",75,1,1.5,575,-0.8,1.25,34.4,"16,628","2,805","3,562"
"21,000.00",575,1.55,1.7,"13,200",-0.55,1.55,34.56,"1,61,671","-5,809","1,60,889"
"21,050.00","2,500",1.15,3.6,"1,800",-0.4,1.55,33.91,"20,179","3,064","3,772"
"21,100.00","1,525",1.45,2,825,-0.65,1.45,33.03,"24,454","2,434","6,693"
"21,150.00","1,025",1.4,3,25,-0.75,1.35,32.13,"16,100",505,"1,724"
"21,200.00","1,125",1.4,2.5,50,-0.6,1.55,31.98,"30,584","1,126","9,063"
"21,250.00",775,1.3,3,25,-0.7,1.35,30.86,"25,878",644,"2,898"
"21,300.00",650,1.5,1.8,25,-0.7,1.5,30.58,"45,063",-391,"11,378"
"21,350.00","5,550",1.45,1.7,575,-0.75,1.45,29.82,"9,983",414,917
"21,400.00",100,1.35,1.75,300,-0.75,1.55,29.4,"21,614",538,"10,996"
"21,450.00",675,1.45,3,"1,800",-0.85,1.45,28.54,"12,264",548,"1,771"
"21,500.00","34,800",1.6,1.8,"4,050",-0.8,1.6,28.21,"1,67,640","-4,691","1,05,928"
"21,550.00",550,1.6,1.75,"1,500",-0.8,1.6,27.57,"12,837",567,"2,026"
"21,600.00",600,1.2,1.8,600,-0.75,1.7,27.11,"45,479","-1,185","11,950"
"21,650.00","10,800",1.15,2.1,500,-0.85,1.6,26.28,"18,283","1,512","2,292"
"21,700.00","7,750",1.7,1.8,975,-0.75,1.75,25.9,"55,635",-127,"14,158"
"21,750.00","4,225",1.6,4.5,"1,800",-0.9,1.6,24.99,"18,817",921,"2,652"
"21,800.00","1,250",1.65,2,"2,100",-1,1.65,24.43,"1,11,127","-3,384","27,961"
"21,850.00",800,1.55,2,"2,550",-1,1.55,23.61,"29,672",658,"2,560"
"21,900.00","6,225",1.8,2,"3,600",-1,1.8,23.38,"1,03,407",-500,"21,407"
"21,950.00","2,500",1.45,5.4,600,-1.2,1.65,22.49,"38,795",339,"3,112"
"22,000.00","2,825",1.9,2,"2,700",-1.05,1.95,22.29,"5,32,717",-878,"2,67,050"
"22,050.00","1,800",1.7,2.2,125,-1.35,1.75,21.34,"47,357",888,"4,837"
"22,100.00",300,1.75,2.1,75,-1.35,1.75,20.69,"1,52,717",547,"25,043"
"22,150.00",400,1.5,2.2,50,-1.55,1.7,19.97,"59,344","2,249","5,483"
"22,200.00",725,1.7,2.5,25,-1.55,1.75,19.38,"2,00,665","-2,660","45,432"
"22,250.00",125,1.9,2.15,"5,400",-1.55,1.9,18.92,"96,485","14,637","19,041"
"22,300.00","1,050",1.9,2,175,-1.7,2,18.38,"2,33,806","3,632","46,560"
"22,350.00","2,700",1.65,2.15,"11,375",-1.8,2.15,17.89,"96,779","4,039","21,504"
"22,400.00","21,525",2,2.25,"1,775",-2.15,2,17.05,"3,66,536","15,434","62,650"
"22,450.00","1,800",2.1,2.95,125,-1.8,2.5,16.88,"1,52,321","9,088","18,129"
"22,500.00",325,2.75,3,"6,275",-1.65,2.95,16.58,"10,04,317","-18,921","2,98,564"
"22,550.00",700,2.75,3.2,725,-1.95,2.95,15.88,"2,15,428","8,249","16,739"
"22,600.00",975,3.1,3.7,600,-2.1,3.25,15.4,"6,40,297","-17,565","92,218"
"22,650.00","1,600",3.65,4.5,600,-1.55,4.35,15.37,"4,11,763","-10,831","24,646"
"22,700.00","1,525",4.2,4.7,"1,625",-2.15,4.2,14.55,"8,37,829","3,761","1,29,843"
"22,750.00","7,925",5.05,5.8,25,-2.15,5.05,14.24,"3,28,962","10,588","29,799"
"22,800.00","1,000",6.2,6.65,200,-1.75,6.45,14.08,"11,19,121","10,402","1,98,993"
"22,850.00","1,500",7.8,8.8,750,-1.95,7.8,14.07,"3,95,640","16,452","39,024"
"22,900.00",825,10.2,10.7,925,-1.25,10.2,13.7,"11,21,641","72,239","1,48,536"
"22,950.00",225,12.75,13.15,"1,000",-0.45,13.1,13.59,"6,68,389","22,801","39,916"
"23,000.00",150,16.85,17.1,"1,000",0.4,17.1,13.56,"23,59,011","46,569","3,84,046"
"23,050.00",25,21,21.1,975,1.45,21.1,13.36,"5,74,609","9,392","27,195"
"23,100.00","1,625",26.1,26.65,875,2.65,26.65,13.26,"12,48,474","31,339","1,07,541"
"23,150.00",25,32.55,33.25,"1,000",4.35,33.2,13.13,"7,29,820","18,474","37,206"
"23,200.00",425,42.05,42.45,475,6.05,41,13.17,"17,83,052",85,"1,15,838"
"23,250.00",450,51.45,52.55,"1,000",10,51.45,12.98,"8,08,876","15,014","37,867"
"23,300.00",25,65.35,65.9,"1,000",16.05,66,13.18,"23,97,677","-4,698","1,32,523"
"23,350.00",25,80.55,81.4,"1,000",21,81,13.2,"13,11,070","2,535","35,191"
"23,400.00",50,98.05,99.6,"1,000",24.9,98.05,13.19,"32,74,407","31,269","1,52,399"
"23,450.00",100,119.6,121.15,100,33.1,121,13.39,"22,38,877","19,006","47,386"
"23,500.00",475,144.45,145,800,40.45,145,13.66,"57,00,630","-12,628","2,07,890"
"23,550.00",125,172,174.3,225,49.45,174.3,14.07,"21,99,354","2,942","35,563"
"23,600.00",125,204.15,205,"1,550",57.35,204.15,14.33,"34,47,092","-29,219","88,377"
"23,650.00",500,238.2,239.55,200,67.25,239.95,14.9,"8,73,365","7,205","15,931"
"23,700.00",25,273.8,276.65,200,77.25,277,15.44,"8,90,851","-3,353","22,228"
"23,750.00",200,315.3,317.95,200,82.1,315.25,15.93,"1,51,446","4,898","7,541"
"23,800.00",200,358,360,100,92.15,358.05,16.72,"2,66,893","1,751","14,625"
"23,850.00",75,397.85,404.65,25,97.45,400.75,17.41,"25,423",-42,625
"23,900.00",100,447.95,450.2,25,108.6,449.85,18.65,"49,519",596,"3,522"
"23,950.00",125,492.45,497.7,50,108.05,493.9,19.33,"6,645",-139,385
"24,000.00",25,539.95,543.7,175,110.55,540.85,20.25,"1,06,597","-2,008","50,350"
"24,050.00",75,585.7,598.45,250,113.3,588.35,21.18,"1,220",-68,116
"24,100.00",75,635.95,641.2,75,111.55,638.8,22.41,"2,938",-19,616
"24,150.00",625,684.25,702.3,"1,150",119.3,690.7,23.8,151,-35,367
"24,200.00",50,733.8,739.2,50,117.3,735.05,24.26,"1,135",-97,526
"24,250.00",575,778.5,805,50,86.05,772.7,23.79,52,1,211
"24,300.00",100,833.2,838.75,150,105.55,834.55,26.41,"1,620",-164,325
"24,350.00",50,863.85,895.2,350,75,835,19.87,22,-,154
"24,400.00",150,932.1,938.25,75,106.05,923.75,27.09,194,-,196
"24,450.00",475,977.65,995,350,101.9,971.4,27.78,133,-54,180
"24,500.00",150,"1,031.45","1,037.60",150,121.25,"1,035.00",30.71,"2,131",-79,"5,191"
"24,550.00",500,"1,035.05","1,129.45",500,-,956.3,-,-,-,102
"24,600.00",150,"1,132.05","1,138.45",125,131.6,"1,137.50",33.11,214,-23,89
"24,650.00",500,"1,044.80","1,237.15",500,-,"1,067.60",-,-,-,134
"24,700.00",50,"1,205.00","1,254.00",850,122.5,"1,227.05",33.59,308,23,148
"24,750.00",500,"1,234.45","1,335.80",500,-,"1,154.55",-,-,-,108
"24,800.00",500,"1,283.75","1,380.25",500,-,"1,210.00",-,-,-,125
"24,850.00",500,"1,240.25","1,486.80",500,-,"1,266.45",-,-,-,78
"24,900.00",50,"1,411.70","1,453.75",200,16.9,"1,320.00",-,2,2,124
"24,950.00",500,"1,433.70","1,530.00",500,-,"1,366.10",-,-,-,108
"25,000.00",25,"1,529.60","1,537.15",75,123.15,"1,536.30",40.78,"5,415","-1,771","32,731"
"25,050.00",500,"1,517.75","1,634.25",500,-,"1,469.10",-,-,-,37
"25,100.00",150,"1,606.10","1,655.45",150,13,"1,518.70",-,2,-,24
"25,150.00",500,"1,406.40","1,733.30",500,-,"1,555.40",-,-,-,29
"25,200.00",500,"1,667.15","1,789.15",500,-,"1,608.30",-,-,-,11
"25,250.00",500,"1,604.40","1,858.15",500,-,"1,735.20",-,-,-,12
"25,300.00",50,"1,804.00","1,858.40",225,10.65,"1,771.25",31.24,3,-1,11
"26,000.00",500,"2,472.95","2,539.95",75,115.5,"2,527.05",56.74,847,-364,"3,224"
"27,000.00",200,"3,513.60","3,579.75",200,108.65,"3,512.00",68.83,95,-44,"3,184"
